Software,Parameter,Code Snippet,Code Pattern,Overall Impact,Effect on Software Behavior,How to Control Software Behavior,Special Effect on Software,Bad consequences,Log Information,On-the-fly Update,"The ""Crisis"" Behind Specific Interactions"
hdfs,dfs.datanode.scan.period.hours,long waitMs = (iterStartMs + conf.scanPeriodMs) - nowMs;,P¡úV,Reliability,Fault Tolerance,Timeout Limitation,/,/,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.checkpoint.period,"        if(now >= lastCheckpointTime + checkpointPeriodMSec) {
          shouldCheckpoint = true;
        }",P¡úV,Reliability,Fault Tolerance,Timeout Limitation,/,/,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.read-lock-reporting-threshold-ms,    if (needReport && readLockIntervalMs >= this.readLockReportingThresholdMs) {,P¡úV,Reliability,Fault Tolerance,Timeout Limitation,/,/,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.datanode.slow.io.warning.threshold.ms,"        if (duration > datanodeSlowLogThresholdMs) {
          datanode.metrics.incrPacketsSlowWriteToMirror();
          if (LOG.isWarnEnabled()) {
            LOG.warn(""Slow BlockReceiver write packet to mirror took {}ms "" +
                ""(threshold={}ms), downstream DNs={}, blockId={}, seqno={}"",
                duration, datanodeSlowLogThresholdMs,
                Arrays.toString(downstreamDNs), replicaInfo.getBlockId(),
                seqno);
          }
        }",P¡úV,Performance,Workload Adaption,Resource Limitation,/,Performance Degradation,"            LOG.warn(""Slow BlockReceiver write packet to mirror took {}ms "" +
                ""(threshold={}ms), downstream DNs={}, blockId={}, seqno={}"",
                duration, datanodeSlowLogThresholdMs,
                Arrays.toString(downstreamDNs), replicaInfo.getBlockId(),
                seqno);
          }",no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.redundancy.considerLoad.factor,"    if (considerLoadByVolume) {
      final int numVolumesAvailable = node.getNumVolumesAvailable();
      final double maxLoadForVolumes = considerLoadFactor * numVolumesAvailable *
          stats.getInServiceXceiverAverageForVolume();
      if (maxLoadForVolumes > 0.0 && nodeLoad > maxLoadForVolumes) {
        logNodeIsNotChosen(node, NodeNotChosenReason.NODE_TOO_BUSY_BY_VOLUME,
            ""(load: "" + nodeLoad + "" > "" + maxLoadForVolumes + "") "");
        return true;
      }
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,"        logNodeIsNotChosen(node, NodeNotChosenReason.NODE_TOO_BUSY_BY_VOLUME,
            ""(load: "" + nodeLoad + "" > "" + maxLoadForVolumes + "") "");",no,Inappropriate threshold in P¡úV
hdfs,dfs.datanode.min.outlier.detection.nodes,"    if (stats.size() < minNumResources) {
      LOG.debug(""Skipping statistical outlier detection as we don't have "" +
              ""latency data for enough resources. Have {}, need at least {}"",
          stats.size(), minNumResources);
      return ImmutableMap.of();
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,/,Performance Degradation,"      LOG.debug(""Skipping statistical outlier detection as we don't have "" +
              ""latency data for enough resources. Have {}, need at least {}"",
          stats.size(), minNumResources);",yes,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.decommission.max.concurrent.tracked.nodes,"    if (numDecommissioningNodes > maxConcurrentTrackedNodes) {
      LOG.warn(
          ""{} nodes are decommissioning but only {} nodes will be tracked at a time. ""
              + ""{} nodes are currently queued waiting to be decommissioned."",
          numDecommissioningNodes, maxConcurrentTrackedNodes, numQueuedNodes);

      // Re-queue unhealthy nodes to make space for decommissioning healthy nodes
      getUnhealthyNodesToRequeue(unhealthyDns, numDecommissioningNodes).forEach(dn -> {
        getPendingNodes().add(dn);
        outOfServiceNodeBlocks.remove(dn);
      });
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,"      LOG.warn(
          ""{} nodes are decommissioning but only {} nodes will be tracked at a time. ""
              + ""{} nodes are currently queued waiting to be decommissioned."",
          numDecommissioningNodes, maxConcurrentTrackedNodes, numQueuedNodes);",no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.redundancy.considerLoad.factor,"    final double maxLoad = considerLoadFactor * inServiceXceiverCount;

    final int nodeLoad = node.getXceiverCount();
    if ((nodeLoad > maxLoad) && (maxLoad > 0)) {
      logNodeIsNotChosen(node, NodeNotChosenReason.NODE_TOO_BUSY,
          ""(load: "" + nodeLoad + "" > "" + maxLoad + "")"");
      return true;
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation," ""(load: "" + nodeLoad + "" > "" + maxLoad + "")"");",no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.list.openfiles.num.responses,"        if (openFileIds.size() >= this.maxListOpenFilesResponses) {
          return new BatchedListEntries<>(openFileEntries, true);
        }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.list.openfiles.num.responses,"      if (count >= numResponses) {
        break;
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.safemode.threshold-pct,"      boolean isBlockThresholdMet = (blockSafe >= blockThreshold);
      boolean isDatanodeThresholdMet = true;
      if (isBlockThresholdMet && datanodeThreshold > 0) {
        int datanodeNum = blockManager.getDatanodeManager().
                getNumLiveDataNodes();
        isDatanodeThresholdMet = (datanodeNum >= datanodeThreshold);
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.client.block.write.retries,"      if (totalBlockCount < dnConf.blockReportSplitThreshold) {
        // Below split threshold, send all reports in a single message.
        DatanodeCommand cmd = bpNamenode.blockReport(
            bpRegistration, bpos.getBlockPoolId(), reports,
            new BlockReportContext(1, 0, reportId, fullBrLeaseId));
        blockReportSizes.add(
            calculateBlockReportPBSize(useBlocksBuffer, reports));
        numRPCs = 1;
        numReportsSent = reports.length;
        if (cmd != null) {
          cmds.add(cmd);
        }
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.client.socketcache.capacity,"    if (capacity == multimap.size()) {
      evictOldest();
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.datanode.max.disks.to.report,"        if (topNReports.size() < numDisks) {
          topNReports.add(diskLatency);",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.datanode.max.transfer.threads,"        int curXceiverCount = datanode.getXceiverCount();
        if (curXceiverCount > maxXceiverCount) {
          throw new IOException(""Xceiver count "" + curXceiverCount
              + "" exceeds the limit of concurrent xceivers: ""
              + maxXceiverCount);
        }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,yes,Inappropriate threshold in P¡úV
hdfs,dfs.image.parallel.target.sections,"        if (outputInodes >= parent.getInodesPerSubSection()) {
          outputInodes = 0;
          parent.commitSubSection(summary,
              FSImageFormatProtobuf.SectionName.INODE_DIR_SUB);
        }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.decommission.backoff.monitor.pending.blocks.per.lock,"          if (blocksProcessed >= blocksPerLock) {
            blocksProcessed = 0;
            namesystem.writeUnlock(""moveBlocksToPending"");
            namesystem.writeLock();
          }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.max.slowpeer.collect.nodes,"        if (topNReports.size() < numNodes) {
          topNReports.add(new SlowPeerJsonReport(entry.getKey(), validReports));
        }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,yes,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.max-corrupt-file-blocks-returned,"            if (count >= maxCorruptFileBlocksReturn)
              break;",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.replication,"        for (int count = numLocations + 1;
            count <= defaultReplication && count <= providedDescriptor
                .activeProvidedDatanodes(); count++) {
          dn = chooseProvidedDatanode(excludedUUids);
          locs.add(new DatanodeInfoWithStorage(
              dn, storageId, StorageType.PROVIDED));
          sids.add(storageId);
          types.add(StorageType.PROVIDED);
          excludedUUids.add(dn.getDatanodeUuid());
        }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.replication.work.multiplier.per.iteration,for (; count < blocksToProcess && priority < LEVEL; priority++) {,P¡úV,Performance,Workload Adaption,Resource Limitation,/,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.fs-limits.max-blocks-per-file,"    if (pendingFile.getBlocks().length >= fsn.maxBlocksPerFile) {
      throw new IOException(""File has reached the limit on maximum number of""
          + "" blocks ("" + DFSConfigKeys.DFS_NAMENODE_MAX_BLOCKS_PER_FILE_KEY
          + ""): "" + pendingFile.getBlocks().length + "" >= ""
          + fsn.maxBlocksPerFile);
    }",P¡úV,Reliability,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,runtime error,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.fs-limits.max-xattrs-per-inode,"    if (userVisibleXAttrsNum > fsd.getInodeXAttrsLimit()) {
      throw new IOException(""Cannot add additional XAttr to inode, ""
          + ""would exceed limit of "" + fsd.getInodeXAttrsLimit());
    }",P¡úV,Reliability,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,runtime error,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.fs-limits.min-block-size,"      if (blockSize < minBlockSize) {
        throw new IOException(""Specified block size "" + blockSize +
            "" is less than configured minimum value "" +
            DFSConfigKeys.DFS_NAMENODE_MIN_BLOCK_SIZE_KEY + ""="" + minBlockSize);
      }",P¡úV,Reliability,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,runtime error,/,no,Inappropriate threshold in P¡úV
hdfs,dfs.namenode.fs-limits.max-component-length,"    if (length > maxComponentLength) {
      final PathComponentTooLongException e = new PathComponentTooLongException(
          maxComponentLength, length, parentPath,
          DFSUtil.bytes2String(childName));
      if (namesystem.isImageLoaded()) {
        throw e;
      } else {
        // Do not throw if edits log is still being processed
        NameNode.LOG.error(""ERROR in FSDirectory.verifyINodeName"", e);
      }
    }",P¡úV,Reliability,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,runtime error,/,no,Inappropriate threshold in P¡úV
hdfs,nfs.max.open.files,"      Preconditions.checkState(size() <= this.maxStreams,
          ""stream cache size "" + size() + ""  is larger than maximum"" + this
              .maxStreams);",P¡úV,Reliability,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,runtime error,/,no,Inappropriate threshold in P¡úV
hive,hive.notification.sequence.lock.max.retries,"          if (currentRetries >= maxRetries) {
            String message =
                ""Couldn't acquire the DB log notification lock because we reached the maximum""
                    + "" # of retries: "" + maxRetries
                    + "" retries. If this happens too often, then is recommended to ""
                    + ""increase the maximum number of retries on the""
                    + "" hive.notification.sequence.lock.max.retries configuration"";
            LOG.error(message, e);
            throw new MetaException(message + "" :: "" + e.getMessage());
          }",P¡úV,Reliability,Fault Tolerance,Retry Limitation,/,runtime error,"            String message =
                ""Couldn't acquire the DB log notification lock because we reached the maximum""
                    + "" # of retries: "" + maxRetries
                    + "" retries. If this happens too often, then is recommended to ""
                    + ""increase the maximum number of retries on the""
                    + "" hive.notification.sequence.lock.max.retries configuration"";
            LOG.error(message, e);",no,Inappropriate threshold in P¡úV
hive,hive.metastore.connect.retries,for (int attempt = 0; !isConnected && attempt < retries; ++attempt) {,P¡úV,Reliability,Fault Tolerance,Retry Limitation,/,/,/,no,Inappropriate threshold in P¡úV
hive,hive.repl.bootstrap.dump.open.txn.timeout,"    while (System.currentTimeMillis() < waitUntilTime) {
      //check if no open txns at all
      List<Long> openTxnListForAllDbs = getOpenTxns(validTxnList);
      if (openTxnListForAllDbs.isEmpty()) {
        return validTxnList.toString();
      }
      //check if all transactions that are open are inserted into the hive locks table. If not wait and check again.
      //Transactions table don't contain the db information. DB information is present only in the hive locks table.
      //Transactions are inserted into the hive locks table after compilation. We need to make sure all transactions
      //that are open have a entry in hive locks which can give us the db information and then we only wait for open
      //transactions for the db under replication and not for all open transactions.
      if (getTxnsNotPresentInHiveLocksTable(openTxnListForAllDbs).isEmpty()) {
        //If all open txns have been inserted in the hive locks table, we just need to check for the db under replication
        // If there are no txns which are open for the given db under replication, then just return it.
        if (getOpenTxns(hiveTxnManager, validTxnList, work.dbNameOrPattern).isEmpty()) {
          return validTxnList.toString();
        }
      }
      // Wait for 5 minutes and check again.
      try {
        Thread.sleep(getSleepTime());
      } catch (InterruptedException e) {
        LOG.info(""REPL DUMP thread sleep interrupted"", e);
      }
      validTxnList = hiveTxnManager.getValidTxns(excludedTxns);
    }",P¡úV,Reliability,Fault Tolerance,Timeout Limitation,/,/,/,no,Inappropriate threshold in P¡úV
hive,SCRIPTERRORLIMIT,"      if (bytesCopied < maxBytes && bytesCopied + len >= maxBytes) {
        System.err.println(""Operator "" + id + "" "" + getName()
            + "": exceeding stderr limit of "" + maxBytes
            + "" bytes, will truncate stderr messages."");
      }
      bytesCopied += len;",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,"        System.err.println(""Operator "" + id + "" "" + getName()
            + "": exceeding stderr limit of "" + maxBytes
            + "" bytes, will truncate stderr messages."");",no,Inappropriate threshold in P¡úV
hive,hive.exec.copyfile.maxnumfiles,"    boolean result = size > maxCopyFileSize && numberOfFiles > maxNumberOfFiles;
    if (result) {
      LOG.info(""Source is {} bytes. (MAX: {})"", size, maxCopyFileSize);
      LOG.info(""Source is {} files. (MAX: {})"", numberOfFiles, maxNumberOfFiles);
      LOG.info(""going to launch distributed copy (distcp) job."");
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,"      LOG.info(""Source is {} bytes. (MAX: {})"", size, maxCopyFileSize);
      LOG.info(""Source is {} files. (MAX: {})"", numberOfFiles, maxNumberOfFiles);
      LOG.info(""going to launch distributed copy (distcp) job."");",no,Inappropriate threshold in P¡úV
hive,hive.exec.max.created.files,"    if (numFiles > upperLimit) {
      errMsg.append(""total number of created files now is "" + numFiles + "", which exceeds "").append(upperLimit);
      return true;
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,"errMsg.append(""total number of created files now is "" + numFiles + "", which exceeds "").append(upperLimit);",no,Inappropriate threshold in P¡úV
hive,hive.optimize.topnkey.efficiency.threshold,"      if (filter.getTotal() >= checkEfficiencyNumRows && filter.forwardingRatio() >= efficiencyThreshold) {
        log.info(""Disabling TopN Filter {}"", filter);
        disabledPartitions.add(partitionKey);
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,/,Performance Degradation,"log.info(""Disabling TopN Filter {}"", filter);",no,Inappropriate threshold in P¡úV
hive,SCRIPTERRORLIMIT,"      if ((maxBytes < 0) || (bytesCopied < maxBytes)) {
        System.err.println(stringLine);
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,hive.exec.parallel.thread.number,"    if (runnable.peek() != null && running.size() < maxthreads) {
      return runnable.remove();
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,hive.repl.stats.events.count,"      if (topKEntries.size() > k) {
        topKEntries.remove(k);
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,HIVEJOINCACHESIZE,"    if (windowLimit < (start.getAmt() + end.getAmt() + 1)) {
      return false;
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,THRIFT_CONNECTION_RETRIES,for (int attempt = 0; !isConnected && attempt < retries; ++attempt) {,P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,hive.direct.sql.max.query.length,      if ((querySize > maxQueryLength * 1024) || (currentCount >= maxParameters)) {,P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,hive.join.cache.size,"    if (windowLimit < (start.getAmt() + end.getAmt() + 1)) {
      return false;
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,hive.map.aggr.hash.percentmemory,"        if (estHashTableSize < maxMemHashAgg) {
          return true;
        }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,hive.mapjoin.smalltable.filesize,"    if (aliasKnownSize > 0 &&
        aliasTotalKnownInputSize - aliasKnownSize > ThresholdOfSmallTblSizeSum) {
      return true;
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,hive.metastore.limit.partition.request,"      if (partitionRequest > partitionLimit) {
        String configName = ConfVars.LIMIT_PARTITION_REQUEST.toString();
        throw new MetaException(String.format(PARTITION_NUMBER_EXCEED_LIMIT_MSG, partitionRequest,
            tblName, partitionLimit, configName));
      }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
hive,metastore.aggregate.stats.cache.size,"    if (getCurrentNodes() / maxCacheNodes > maxFull) {
      spawnCleaner();
    }",P¡úV,Performance,Workload Adaption,Resource Limitation,Prevent excessive resource utilization,Performance Degradation,/,no,Inappropriate threshold in P¡úV
